document_id,source,document,label,rlf,nf,root_word,rlf_sent,rand_sent,word_list,imp_score
mC01ERQ35hv3cl9emHRjYg,Yelp,"Very great! Visiting our friends for the week. This was a great place for frozen custer. We have some of these in VA but this wasn't bad at all for IL. Def would go again next time when I visit. 

I ordered the Bodacious and it was sooooo good. The flavor was chocolatey and nice mixture with sprinkles. Very adorable for high school dates and the dessert is just delish!",1,sooooo,so+,so,I ordered the Bodacious and it was sooooo good.,Visiting our friends for the week.,['I' 'ordered' 'the' 'Bodacious' 'and' 'it' 'was' 'sooooo' 'good.'],[1 1 1 2 1 1 1 4 5]
zpd8J0JUh8nfZ4bbNpkIBw,Yelp,"I just had my hair done with Karla and I am so happy with the color, cut and blow dry that she gave me! I am totally coming back to see her. I love the way I was treated and most importantly the way I LOOK.  thank you Karla for making me and my boyfriend happy!!!!",1,happy!!!!,happy!+,happy!,thank you Karla for making me and my boyfriend happy!!!!,I am totally coming back to see her.,"['thank' 'you' 'Karla' 'for' 'making' 'me' 'and' 'my' 'boyfriend'
 'happy!!!!']",[3 1 2 1 2 1 1 1 2 5]
YYClUO27RpFFcsCzSVLg7w,Yelp,"I was introduced to this place on Father's Day last year. I have had pizza all over town, the country and this has been the best I have tasted by far. The brick oven and thin crust coupled with the fresh ingredients make the pizza a great meal for anyone that loves pizza.
Great staff and atmosphere, keep up the great job!!!",1,job!!!,job!+,job!,"Great staff and atmosphere, keep up the great job!!!",I was introduced to this place on Father's Day last year.,"['Great' 'staff' 'and' 'atmosphere,' 'keep' 'up' 'the' 'great' 'job!!!']",[4 2 1 3 2 1 1 4 5]
G84NW3xKOysxoTLmVRBhow,Yelp,"OMG! Every once in a while you get a new resturant in your area that burst on the scene and lives up to expectations.... like this place! Yes its packed all the time because it's FANTASTIC and worth the wait. If you are in Tampa and you love italian food, this is as authentic and delicious as it gets!  Everything is fresh, the staff is friendly and they treat you like family. Wish I could give them 100 stars!",1,expectations....,expectations...+,expectations...,Every once in a while you get a new resturant in your area that burst on the scene and lives up to expectations....,"Everything is fresh, the staff is friendly and they treat you like family.","['Every' 'once' 'in' 'a' 'while' 'you' 'get' 'a' 'new' 'resturant' 'in'
 'your' 'area' 'that' 'burst' 'on' 'the' 'scene' 'and' 'lives' 'up' 'to'
 'expectations....']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 1 4]
ABQVUNUL2A946,Amazon_Reviews/Books,she rushed to wrap up the series.... could have lived without it.,0,series....,series...+,series...,she rushed to wrap up the series....,could have lived without it.,['she' 'rushed' 'to' 'wrap' 'up' 'the' 'series....'],[1 3 1 1 1 1 2]
WnsqPL4dbq9kAGYtzHI7dQ,Yelp,"Update april 2019 : dough not cook , the pizza is in the oven to be able to cook . It was cooked past time we ordered.  VERY INCONSISTENT in the cooking time 

Update on September 2020 . They raised the prices sooo much , the margaritas end up at 28$ . I u derstand a raise but not a 6-7 $ . Sad 


This review is for today :

-Ordered a margarita add pepperoni, end up with a cheese add pepperoni, like a kid pizza .  If you don't know how to take orders or change the phone or change the personnel. Came back home and it was too late . 

- the pizza wasn't cook enough. Crust was think and uncooked like a old dough.


Well I used to come quite often... I will go to Ancora instead , you really disappointed me today mid city Pizza.",0,sooo,so+,so,"They raised the prices sooo much , the margaritas end up at 28$ .",It was cooked past time we ordered.,"['They' 'raised' 'the' 'prices' 'sooo' 'much' ',' 'the' 'margaritas' 'end'
 'up' 'at' '28$' '.']",[1 3 1 2 4 3 1 1 1 1 1 1 2 1]
AT8C51ELDYZ9J,Amazon_Reviews/Books,all her books are amazing!!! continue Lauren...,1,amazing!!!,amazing!+,amazing!,all her books are amazing!!!,continue Lauren...,['all' 'her' 'books' 'are' 'amazing!!!'],[1 1 1 1 5]
cY3UOzbEJPItgeMO9_CAHA,Yelp,I stopped in there on Tuesday for a few items and I was very dissatisfied with the food.  The chicken was not fresh at all I threw majority of my panda bowl away.  A panda bowl is not even all that big!!! Needless to say this location is horrible and I will not be back.,0,big!!!,big!+,big!,A panda bowl is not even all that big!!!,Needless to say this location is horrible and I will not be back.,['A' 'panda' 'bowl' 'is' 'not' 'even' 'all' 'that' 'big!!!'],[1 1 1 1 2 2 1 1 3]
A2F1FUTKQPPTHH,Amazon_Reviews/Books,This is my first book on Amazon and I loved it sooo much. I've red all the other Rick Riordan books and he's my favourite writer. The Amazon Kindle reader is the best of all the e-book readers.,1,sooo,so+,so,This is my first book on Amazon and I loved it sooo much.,The Amazon Kindle reader is the best of all the e-book readers.,"['This' 'is' 'my' 'first' 'book' 'on' 'Amazon' 'and' 'I' 'loved' 'it'
 'sooo' 'much.']",[1 1 1 1 1 1 1 1 1 4 1 5 4]
A25Y07DVREBYB1,Amazon_Reviews/Electronics,"Not sure why but doesn't work all the time....Works only part time....very poor quality.

Where can I find a good one?",0,time....,time...+,time...,Works only part time....,Where can I find a good one?,['Works' 'only' 'part' 'time....'],[2 2 2 2]
A332II6F2S6PVB,Amazon_Reviews/Books,"My grandson, in the second grade, is SOOOO HAPPY with this book! (And so am I!) The Public Schools in many states no longer teach cursive handwriting and his always curious and inquisitive mind wants, SO MUCH, to learn how to do so.
  Thank you for offering your perfect guidance in this book, to teach children what they ALL should still be required to learn at school!",1,SOOOO,SO+,SO,"My grandson, in the second grade, is SOOOO HAPPY with this book!",(And so am I!,"['My' 'grandson,' 'in' 'the' 'second' 'grade,' 'is' 'SOOOO' 'HAPPY' 'with'
 'this' 'book!']",[1 1 1 1 1 1 1 5 5 1 1 3]
A3LUYPN6FAB676,Amazon_Reviews/Books,"This book is excellent, almost hypnotic listening to the voice. I listened to this audio book and will search for more books read by this reader. I totally enjoyed it. five stars. It kept my attention which isn't easy. get it, but if you are going to buy it then get the disks from A M A Z ON. audible won't allow you to share and you will want to. The reader does perfect voices of the other characters. Loved It!!!!  A Henry",1,It!!!!,It!+,It!,Loved It!!!!,I totally enjoyed it.,['Loved' 'It!!!!'],[5 5]
A1IZ826P64YOWT,Amazon_Reviews/Electronics,One year exactly after lose the warranty this is how the product looks like. WORST QUALITY EVER!!!!,0,EVER!!!!,EVER!+,EVER!,WORST QUALITY EVER!!!!,One year exactly after lose the warranty this is how the product looks like.,['WORST' 'QUALITY' 'EVER!!!!'],[5 2 5]
A2JVJPQ4YQUXYW,Amazon_Reviews/Electronics,Very nice. Works well!!!,1,well!!!,well!+,well!,Works well!!!,Very nice.,['Works' 'well!!!'],[2 5]
AGOHGW3FGA9DE,Amazon_Reviews/Electronics,"This product went on so easy, I don't see how it can be messed up.  It hasn't distorted the screeen and is almost as slick and smooth as the glass screen.",1,screeen,scree+n,screen,It hasn't distorted the screeen and is almost as slick and smooth as the glass screen.,"This product went on so easy, I don't see how it can be messed up.","['It' ""hasn't"" 'distorted' 'the' 'screeen' 'and' 'is' 'almost' 'as'
 'slick' 'and' 'smooth' 'as' 'the' 'glass' 'screen.']",[2 2 3 1 1 1 1 3 1 2 1 2 1 1 2 2]
A19HWPICLWO7PW,Amazon_Reviews/Books,Excellent writing and I love the way the wicked lovers series is continued.  The only suggestion I have is to start with the first one wicked ties.  The author builds on each book so you kinda know the scene and some of the characters before even reading it.  Happy Reading!!!,1,Reading!!!,Reading!+,Reading!,Happy Reading!!!,Excellent writing and I love the way the wicked lovers series is continued.,['Happy' 'Reading!!!'],[5 5]
AQ0ITG1DUVCAB,Amazon_Reviews/Books,"Hydraulic Level Five is a beautifully written story. It made me laugh, cry, and fall in love with the characters (and not just the main ones).

Everyone should give this one a shot, you won't be disappointed!!!",1,disappointed!!!,disappointed!+,disappointed!,"Everyone should give this one a shot, you won't be disappointed!!!","It made me laugh, cry, and fall in love with the characters (and not just the main ones).","['Everyone' 'should' 'give' 'this' 'one' 'a' 'shot,' 'you' ""won't"" 'be'
 'disappointed!!!']",[2 2 2 2 2 1 3 2 3 1 5]
AZTZQ049W5XZX,Amazon_Reviews/Electronics,"The HD video quality on this camera is superb, but that is probably the only thing going for it. Still images often turn out warped, and it has trouble taking pictures in either dim lighting or when it's bright outside. In other words the indoor pictures will often turn out blurry or the photos outside in bright sunlight look like the camera has been pointed directly into the sun. The battery life on the camera is average, but it's major drawback is the construction quality. The camera is very cheaply made and 'feels' very cheap when you hold it. It doesn't have anywhere near the durability of other manufacturer's cameras within the same price range. I treated my camera very well, yet it stopped working only after about 15 months. I turned it on one day, the lens extended out, something internally snapped, and the lens would no longer go back in. And then it wouldn't turn on altogether. I had never dropped nor damaged the camera, yet some internal mechanisms within the camera broke regardless from gentle and normal use. The camera is also a bit bulky when compared to similar makes. The camera also seems to have problems reading memory cards. Mine wouldn't distinguish between a 2GB memory card, or an 8GB memory card. If you put in a larger capacity memory card in order to record more video for example, the camera would only recognize the recording time as being that of a 2GB card instead. In other words it wouldn't record any more than the alloted time before it thought the memory card was full, which of course it wasn't. Finally, the battery will only charge when the camera is plugged into a USB port. The battery doesn't come with a separate charger. This can become a huge problem should you forget to plug your camera into the computer. Thus you'll likely need to order yourself an extra battery with a wall charger like I did so you can be sure the battery won't die while you're out and about. In conclusion, I wouldn't recommend this camera. Unless someone is selling a new one for a huge discount, say 50% off, I would shop around for a non-Kodak digital camera instead......",0,instead......,instead...+,instead...,"Unless someone is selling a new one for a huge discount, say 50% off, I would shop around for a non-Kodak digital camera instead......","Mine wouldn't distinguish between a 2GB memory card, or an 8GB memory card.","['Unless' 'someone' 'is' 'selling' 'a' 'new' 'one' 'for' 'a' 'huge'
 'discount,' 'say' '50%' 'off,' 'I' 'would' 'shop' 'around' 'for' 'a'
 'non-Kodak' 'digital' 'camera' 'instead......']",[2 2 1 2 1 2 2 1 1 3 3 2 4 3 2 2 2 2 1 1 2 2 2 3]
4eNDZwixYstGKCfZGhqk8g,Yelp,"I was very disappointed in the Pinellas Park location. I love this chain of restaurants, but this one is obviously new and its people need more training.  The service was beyond slow and two of our 5 orders were wrong. Keep in mind, it was 7:00 on a Monday night and the restaurant was not busy at all. We were seated right away, but then it was about 10 minutes before anyone came to wait on us.  Our waitress finally came and took our drink orders; by that time we were ready to order food, but she didn't offer and ran away to get our drinks before we could mention it.  Once we did order our meals, it again took a really long time to get our food. 
One member of our party ordered a salad  and requested it without pecans. Before our food came out, the waitress came and asked if there was a nut allergy because the kitchen put the pecans on the salad. She offered to remove the pecans or remake the salad to which we responded they were fine on the salad (by this time we were hungry and could pick the pecans off).  The salad came out with a few pecans, but most picked off.  
Another member ordered an entree with two sides, when it came out it only had one side. Our waitress asked what the other side was (coleslaw) and said she'd be right back with it. By the end of the meal, she never brought it...even though she checked on our table a couple times.  We then asked for a cookie monster instead, which she had to ask if she could do. She came back to check on us a couple more times, never telling up that it would take about 20 minutes to get the cookie monster because it is baked fresh. Again, we thought she forgot about us.  We finally just asked her to box it for us, which took another extended time period.  Overall we were at the restaurant for almost 2 hours....way to long for a simple dinner.  However, the majority of the food was good, except the salmon was a little overcooked and the rice undercooked.  
Unfortunately, until management gets the kinks of newness worked out, we won't be going back to this location.",0,hours....,hours...+,hours...,Overall we were at the restaurant for almost 2 hours....,"Unfortunately, until management gets the kinks of newness worked out, we won't be going back to this location.","['Overall' 'we' 'were' 'at' 'the' 'restaurant' 'for' 'almost' '2'
 'hours....']",[2 2 1 1 1 2 1 3 2 3]
AWNZGSJ2NB0GP,Amazon_Reviews/Electronics,Awesome sound!!!!!! Very happy with this item ,1,sound!!!!!!,sound!+,sound!,Awesome sound!!!!!!,Very happy with this item,['Awesome' 'sound!!!!!!'],[5 5]
yaJQ4wI4xkcydwvn8pnQGQ,Yelp,"Glad I am only getting married once so I never have to deal with them again. Got bridesmaid dresses from there even after ""my appointment"" was overrun by other customers in the store. Picked a dress that I was told woud look great even on the full figured girls and possibly pregnant girl in my party. (tough because everyone lives in different locations so we were not able to try on). So after half the dresses were paid for and ordered my (possibly going to be pregnant) friend calls to order and the girl on the phone tells her basically that this dress will look terrible and she will just have to ""work with it"". Why would you tell someone that the dress (that we picked out specifically for this reason) will look bad on them....Anyway, my other normal sized bridesmaid is told she is between sizes so she should get the bigger size (which of course she had to pay for extra fabric), and they made her get a size 20 (she wears a 8 normally). When she got the dress and took it to get altered where she lives, she had to get 13 inches of fabric cut off!!  The customer service was terrible overall, and I would not recommend this shop.",0,them....,them...+,them...,Why would you tell someone that the dress (that we picked out specifically for this reason) will look bad on them....,"When she got the dress and took it to get altered where she lives, she had to get 13 inches of fabric cut off!!","['Why' 'would' 'you' 'tell' 'someone' 'that' 'the' 'dress' '(that' 'we'
 'picked' 'out' 'specifically' 'for' 'this' 'reason)' 'will' 'look' 'bad'
 'on' 'them....']",[2 2 2 3 2 1 1 2 1 2 3 2 3 1 1 2 2 3 5 1 4]
KKSxjzUnd8w7p3e05ORGtg,Yelp,So so so good!!! Definitely recommend! Great atmosphere and the burgers are top notch!!,1,good!!!,good!+,good!,So so so good!!!,Definitely recommend!,['So' 'so' 'so' 'good!!!'],[3 3 3 5]
A5W2E5T7DW6BM,Amazon_Reviews/Books,"The seller had this book to me so quickly it blew my mind! My wife was very happy with it, and it came at a good price! Thank yo uso much!!!!",1,much!!!!,much!+,much!,Thank yo uso much!!!!,"My wife was very happy with it, and it came at a good price!",['Thank' 'yo' 'uso' 'much!!!!'],[3 2 2 5]
ALzaxvcclkVDfcUjot1ZFA,Yelp,Been in the drive through with no one inside and only 2 cars.... for roughly 16 minutes. Slow as molasses guys.,0,cars....,cars...+,cars...,Been in the drive through with no one inside and only 2 cars....,for roughly 16 minutes.,"['Been' 'in' 'the' 'drive' 'through' 'with' 'no' 'one' 'inside' 'and'
 'only' '2' 'cars....']",[1 1 1 1 1 1 3 1 1 1 2 1 1]
AZY96LU53VWGO,Amazon_Reviews/Books,"An enjoyable read with many plot twists, romance, great characters and detailed descriptions of a charming era and life.  Have read most of Ms Klaussen's books and have never been dissappointed. Thank you and soooo looking forward to your next.",1,soooo,so+,so,Thank you and soooo looking forward to your next.,"An enjoyable read with many plot twists, romance, great characters and detailed descriptions of a charming era and life.",['Thank' 'you' 'and' 'soooo' 'looking' 'forward' 'to' 'your' 'next.'],[3 2 1 5 3 3 1 2 2]
52914891,TripAdvisor,"My husband and I stayed at the Grace from 26-30 December 2009. What can i say? What a great little hotel at such a good price! Granted, the rooms are a little small, but what do you expect in New York City - none of the hotel rooms are very big. The rooms themselves though were completely kitted out, lovely double bed, flat screen TV, DVD player and iPod dock as well as safety deposit box and small fridge. If you are like us and you are in NY to see the sights and do a bit of shopping then you don't really spend that much time in the hotel - but when we did, I have to say it was a pleasure! The staff were very helpful and the breakfast included in the tariff was a lovely extra, though you do need to be up either early or late to get a table - it seemed to be busiest between 8-9am (though it is open til midday!).
The location...fantastic! right off Times Square, on W45th Street which itself has some really nice Irish pubs if you fancy a nice drink, they also do some really good food! 
If goood food is what you are after go to Bobby Van's - food is superb, it is pricey at $50 for a steak [that comes with no sides] but boy do you get 50 dollars worth of meat! There must have been half a cow on my husband's plate!
All in all a fantastic stay, would definitely recommend the hotel - was clean and friendly and right in the hub of NY...""All you could need for a stay in New York""",1,goood,go+d,god,"If goood food is what you are after go to Bobby Van's - food is superb, it is pricey at $50 for a steak [that comes with no sides] but boy do you get 50 dollars worth of meat!","All in all a fantastic stay, would definitely recommend the hotel - was clean and friendly and right in the hub of NY...","['If' 'goood' 'food' 'is' 'what' 'you' 'are' 'after' 'go' 'to' 'Bobby'
 ""Van's"" '-' 'food' 'is' 'superb,' 'it' 'is' 'pricey' 'at' '$50' 'for' 'a'
 'steak' '[that' 'comes' 'with' 'no' 'sides]' 'but' 'boy' 'do' 'you' 'get'
 '50' 'dollars' 'worth' 'of' 'meat!']","[2 5 2 1 2 2 1 2 2 1 2 2 1 2 1 5 1 1 4 1 3 1 1 2 1 2 1 3 2 1 2 2 2 2 3 3 3
 1 4]"
X36iN6p0TwBGAsejc3H7Pg,Yelp,"I still love this place.

I've  been coming here with family and friends since they opened their doors and am still impressed with the food, service, and atmosphere.

On this most recent visit I had a grilled shrimp salad and it was delicious.  The portion size was very generous and the shrimp were perfectly cooked.  We ordered onion rings for the table and I had to restrain myself. They're so tasty and huge, and I had three so......

I can't say enough good things about the Blue Crab.",1,so......,so...+,so...,"They're so tasty and huge, and I had three so......","I've  been coming here with family and friends since they opened their doors and am still impressed with the food, service, and atmosphere.","[""They're"" 'so' 'tasty' 'and' 'huge,' 'and' 'I' 'had' 'three' 'so......']",[2 3 5 1 4 1 2 2 3 4]
Mou_Jv9jG1MojA0FUWjHUw,Yelp,"I am new to the area so the Market is right around the corner. Stopped there this morning and ordered a breakfast wrap and a sandwich for lunch.

The ""El Camino"" was insanely good. I took one bite and was hooked. Normally, items like that are a little blah. This was packed with taste.

The ""Caprese"" sandwich was the same. A perfect blend of bread, mozzarella, basil and glaze. 

So, I'm going to find myself over there a lot more.....",1,more.....,more...+,more...,"So, I'm going to find myself over there a lot more.....","A perfect blend of bread, mozzarella, basil and glaze.","['So,' ""I'm"" 'going' 'to' 'find' 'myself' 'over' 'there' 'a' 'lot'
 'more.....']",[3 2 3 1 3 2 2 2 1 3 4]
nO1CJUP_A8SS4HVztlHNyA,Yelp,"First, I would like to apologize to Jeff Ruby for cheating with another high end steakhouse! Won't happen again I promise! Honestly, we ended up here by chance. We called ahead to see if we could get a reservation and were told they were done taking them for the evening? What ?? 2 people at 8 ? really ? no room? So, we then asked if we just stopped by could we get a bar table and eat there. Reply from the hostess ""Not sure. You can do what you want."" Seriously curious to know how much potential business gets turned away.
So..on our way to 2nd choice for dinner we passed DB's and decided to make a quick stop in. Asked the hostess if we could get a table......we were seated within 15 seconds.
As with most highend restaurants there is a certain level of service expectations. The service was somewhere between horrible and mediocre. We honestly got better service from the girl at Starbucks for the 2$ cup of coffee than we did for the 300$ meal we ate here!
Steaks were both overcooked(ordered med rare came out med well),server was pretty much non-existent and wine service atrocious. However, I would like to give a shout out to Jeff the busboy working in another section. He has stellar guest service skills!!
In a nutshell, there are way too many awesome and much cheaper restaurants in New orleans! Pass on this one!",0,table......,table...+,table...,Asked the hostess if we could get a table......,"You can do what you want"".",['Asked' 'the' 'hostess' 'if' 'we' 'could' 'get' 'a' 'table......'],[2 1 2 2 2 2 2 1 3]
ino8iaEsZgadNvmm5qipIA,Yelp,Derrick and E has been amazing!!! We stayed at the adjoining hotel and these two individuals were the epitome of customer service! Everything was fresh and delicious! They made sure we were comfortable and satisfied at all times!!! I appreciate them! Tackle Bar they are the best! The charred oysters are to die even BETTER than Dragos! Try them guys you will not regret it,1,amazing!!!,amazing!+,amazing!,Derrick and E has been amazing!!!,We stayed at the adjoining hotel and these two individuals were the epitome of customer service!,['Derrick' 'and' 'E' 'has' 'been' 'amazing!!!'],[2 1 2 2 2 5]
58236829,TripAdvisor,I am a travel agent who took a group of about 20 to NYC. I chose this hotel because of location and size of the rooms. It was all we had expected and more!!!! Everyone in our group LOVED the hotel. No complaints! They were so willing to help and made us feel special. I am taking another group back this summer and hope the price is right so we can use the hotel again! A great value! The location is amazing!!,1,more!!!!,more!+,more!,It was all we had expected and more!!!!,I chose this hotel because of location and size of the rooms.,['It' 'was' 'all' 'we' 'had' 'expected' 'and' 'more!!!!'],[1 1 1 1 1 3 1 5]
A3TWHZYJR5R7EY,Amazon_Reviews/Books,"I absolutely loved this book!!!! I've already bought the sequel. I love how the author shows Gods hand in even the smallest things in our lives. There is so much teaching and wonderful quotes of the author, that we can apply to our own lives. The characters are so alive in the words, you love them and feel their pain. Anita Stansfield is a great writer! I look forward to reading more of her works!",1,book!!!!,book!+,book!,I absolutely loved this book!!!!,"The characters are so alive in the words, you love them and feel their pain.",['I' 'absolutely' 'loved' 'this' 'book!!!!'],[1 4 5 1 5]
A1359CAMCA0H46,Amazon_Reviews/Electronics,Terribly disappointed!!  Immediately started cracking to exposed white paper underneath. Not leather as they said!!!  The binding is all pealed back after only a month!!  Don't buy!,0,said!!!,said!+,said!,Not leather as they said!!!,The binding is all pealed back after only a month!!,['Not' 'leather' 'as' 'they' 'said!!!'],[2 1 1 1 3]
A2J9AEJBXHT7NN,Amazon_Reviews/Books,"The portions are actually quite generous here, and the use of lots of different spices make the recipes very tasty and not so monotonous.  I just enjoyed sitting down and reading through at first, then went back and ""bookmarked"" (Kindle Gal here....) the ones I want to use first. My faves are the ""packet meals"" and all the yummy roasted veggie recipes. I have a veggie-hater in my house. (""I don't eat green food!!"") But we're both gobbling up the roasted veggies from this book.  I highly recommend it.",1,here....,here...+,here...,"I just enjoyed sitting down and reading through at first, then went back and ""bookmarked"" (Kindle Gal here....","My faves are the ""packet meals"" and all the yummy roasted veggie recipes.","['I' 'just' 'enjoyed' 'sitting' 'down' 'and' 'reading' 'through' 'at'
 'first,' 'then' 'went' 'back' 'and' '""bookmarked""' '(Kindle' 'Gal'
 'here....']",[1 1 3 1 1 1 2 1 1 1 1 1 1 1 2 1 1 2]
A2POZPGXLYY9HJ,Amazon_Reviews/Books,"OMG!  Gerri did it again. She made the perfect match again. Becca was just what Vikter needed. Razzy knew Rebecca couldn't back out of a dare so she dared her to go into their library and find a book with a woman on it. Only it turned out to be Vikter 's office. He liked her instantly but since he knew he was dying he was filled with rage and anger.  They started yelling and Drayken came to the rescue so to speak, if it's from his point of view. But Becca knew she could take care of herself.  So that  dare didn't count to much besides seeing a man covered all over like  cousin it but he had the most gorgeous gold eyes.  The next-gen seen of her golden eye person was when he was in his dragon form  flying around she just had to follow to get a better and close look at the magnificent flying dragon. He was simply beautiful. She was finally with the mystical creature she loved so much. Viktor was happy she didn't run away or show any fear. His dragon was content with her being so close. As soon as things seem to going well it was interrupted by Charlotte(Becca's sister )  mates, and Drayken came. Viktor flew away. The next time she seen Vikter was with at Razzy's dinner party and things took on a new meaning of having dinner. They were hitting off but Vikter of course became jealous of Drayken flirting with his mate but he didn't know why he felt that way. Then Becca was abducted and you know what......well, get the book and read it....this book will not disappoint trust me...I really love Gerri and her PDA . Milly struck gold with this story...",1,it....,it...+,it...,"well, get the book and read it....",The next time she seen Vikter was with at Razzy's dinner party and things took on a new meaning of having dinner.,"['well,' 'get' 'the' 'book' 'and' 'read' 'it....']",[1 1 1 1 1 2 2]
A1553Y26X2QSKT,Amazon_Reviews/Books,"A book like this is hard to rate. On one hand, marvelous, 5 stars for sure....on the other awww c'mon be serious. The best I can honestly say is I sure hope so. I'll find out soon enough I'm near 80.  Rate his father's writing ability, it's ok. A bit stretched out but ok. I've had some experience along these lines and have talked to a few who also had similar experiences but none to this extent, so who can say other than, ""I hope so, I hope so."" I have two children I'll be dying to see.

Donna Bailey",0,awww,aw+,aw,on the other awww c'mon be serious.,"I've had some experience along these lines and have talked to a few who also had similar experiences but none to this extent, so who can say other than, ""I hope so, I hope so"".","['on' 'the' 'other' 'awww' ""c'mon"" 'be' 'serious.']",[1 1 2 3 3 1 3]
