document_id,source,document,label,rlf,nf,root_word,rlf_sent,rand_sent,rlf_sent_pred_label,rand_sent_pred_label,word_list,imp_score,final_rlf_label,final_rand_label,is_ellipses,imp_quality,rlf_sent_len,rand_sent_len,doc_len
A4I9JS6OXJP9I,Amazon_Reviews/Electronics,"Didn't know I could purchase a15 inch powered subwoofer for 200 dollars with this much Bang! All im gonna say...is that, this sub hangs with, maybe even beats my 15inch Cerwin Vega sub and for over half the price less!!!",1,less!!!,less!+,less!,"is that, this sub hangs with, maybe even beats my 15inch Cerwin Vega sub and for over half the price less!!!",All im gonna say...,1,0,"['is' 'that,' 'this' 'sub' 'hangs' 'with,' 'maybe' 'even' 'beats' 'my'
 '15inch' 'Cerwin' 'Vega' 'sub' 'and' 'for' 'over' 'half' 'the' 'price'
 'less!!!']",[1 1 1 1 2 1 2 2 3 1 1 1 1 1 1 1 2 2 1 1 3],1,1,0,5.0,21,4,40
ATWBRQOXUMTIP,Amazon_Reviews/Books,These books are the best books ever!!!!!!!!!! My friends read all of these books and they made me read them!!!!!,1,ever!!!!!!!!!!,ever!+,ever!,These books are the best books ever!!!!!!!!!!,My friends read all of these books and they made me read them!!!!!,1,0,['These' 'books' 'are' 'the' 'best' 'books' 'ever!!!!!!!!!!'],[1 1 1 1 5 1 5],1,1,0,5.0,7,13,20
A15ZNJSCU6QS0P,Amazon_Reviews/Books,"I only finished about 1/4 of the book, I just couldn't take it anymore.  Some of the points he attempts to make are so incredibly right wing'ed and he fails to see it from a different perspective, which I think is funny because I thought that was what the book was supposed to be about? Either way, I was very disappointed.  If he wants to ""experience it from their side"" why doesn't he take a step out of his comfort zone and try living among them???? All he did was run around and try to get half-stories and when he thought they weren't telling the entire truth he immediatly implied that it was because they were drug dealers or jackers. Talk about stereo-typing.",0,them????,them?+,them?,"If he wants to ""experience it from their side"" why doesn't he take a step out of his comfort zone and try living among them????",All he did was run around and try to get half-stories and when he thought they weren't telling the entire truth he immediatly implied that it was because they were drug dealers or jackers.,0,0,"['If' 'he' 'wants' 'to' '""experience' 'it' 'from' 'their' 'side""' 'why'
 ""doesn't"" 'he' 'take' 'a' 'step' 'out' 'of' 'his' 'comfort' 'zone' 'and'
 'try' 'living' 'among' 'them????']",[2 2 3 1 3 2 2 2 3 3 3 2 3 1 3 3 1 2 3 3 2 3 3 2 5],0,0,0,5.0,25,34,123
2qleJszJtC6GPhA2HdiNSg,Yelp,Love these donuts!!! Super sweet and fried tasting in a good way! Cinnamon was my favorite! There are a ton of toppings to choose from and place to watch your donuts being made. Would be great to bring some to your office on a Friday because their small and easy to share. Would recommend for your sweet fix!,1,donuts!!!,donuts!+,donuts!,Love these donuts!!!,Would recommend for your sweet fix!,1,1,['Love' 'these' 'donuts!!!'],[5 2 5],1,1,0,5.0,3,6,58
A10V53CZGXP7GV,Amazon_Reviews/Books,I love this!!! Wear it everyday aroynd the house everyone already asked how i lost the weight!! Its comfortable and affordable most of all it really works!!! Best purchase ive ever made,1,this!!!,this!+,this!,I love this!!!,Best purchase ive ever made,1,1,['I' 'love' 'this!!!'],[2 5 5],1,1,0,5.0,3,5,32
A1TYWAHGAIWN5Y,Amazon_Reviews/Electronics,All I can say is loved it!!!! Worth every penny!,1,it!!!!,it!+,it!,All I can say is loved it!!!!,Worth every penny!,1,1,['All' 'I' 'can' 'say' 'is' 'loved' 'it!!!!'],[1 2 1 2 1 5 5],1,1,0,5.0,7,3,10
XNlyiWhCs14kHwH9CuAWRQ,Yelp,So glad my friends recommended this place because WOW the technicians here did such an AMAZING job!!!!!! Love the colors and the precautions they took in order to make this experience feel safe and comfortable!!! Once again such a great job!!!!!,1,job!!!!!!,job!+,job!,So glad my friends recommended this place because WOW the technicians here did such an AMAZING job!!!!!!,Love the colors and the precautions they took in order to make this experience feel safe and comfortable!!!,1,1,"['So' 'glad' 'my' 'friends' 'recommended' 'this' 'place' 'because' 'WOW'
 'the' 'technicians' 'here' 'did' 'such' 'an' 'AMAZING' 'job!!!!!!']",[2 4 2 3 4 2 2 2 5 1 2 1 2 3 2 5 5],1,1,0,5.0,17,18,41
AAYF1W5SOZE4B,Amazon_Reviews/Books,"Measure of Danger was a great first book from Jay Klages.  It very quickly captured my attention, and became a book that was hard to put down.  I would classify it as a ""Techno-Thriller.""  If you like books like Tom Clancy's, you will most certainly like this one. The plot twists and turns, but it is still easy to follow.  I am greatly looking forward to the sequel!!!",1,sequel!!!,sequel!+,sequel!,I am greatly looking forward to the sequel!!!,Measure of Danger was a great first book from Jay Klages.,1,1,['I' 'am' 'greatly' 'looking' 'forward' 'to' 'the' 'sequel!!!'],[2 1 4 3 3 1 1 5],1,1,0,4.0,8,11,68
A3D9VXOTQ686A8,Amazon_Reviews/Electronics,A heavy duty wall mount!!! Would highly recommend! Easy for this girl to put up. Very good instructions! There are plenty of different types of screws to fit every ones needs.,1,mount!!!,mount!+,mount!,A heavy duty wall mount!!!,Easy for this girl to put up.,1,1,['A' 'heavy' 'duty' 'wall' 'mount!!!'],[1 3 3 2 5],1,1,0,5.0,5,7,31
3L_PneNX2vDAC68cGS8Djg,Yelp,"Went for a beer and appetizer at Henrietta Red in Germantown...their raw bar options have been on my radar for a while. If you love oysters but your experience is limited to Gulf oysters, then please expand your horizons. I promise you oysters from various parts of the United States are very different in flavor. There were 16 oyster options and I tried five of them, some from Massachusetts, North Carolina, and Alabama. The Cape Hatteras were pretty much your standard sweet, plump oyster while the most unusual were the very small Paines Creek from Brewster, MA. They had a gritty and very brined flavor and made up for their size with powerful flavors. I also found the Mon Louis from Alabama to be really good with a bit of a tangy bite...went well with the house sauce. My ONLY complaint...if you are going to serve oysters of this caliber, then you should have FRESH ground horseradish...not from a gallon jug...sheesh! 

**ALERT** They make their OWN CRACKERS and were awesome...tasted a bit like crispy Naan bread and was soooooo much better than your generic saltine crackers. Follow all of this up with an exceptional Omme Gang Rare Vos Amber Ale...went extremely well with the oysters. This place is quite ""hipster"" and the crowd reflects the Germantown vibe. Great service and a bright atmosphere make you feel very comfortable here. If you love to try different oysters versus standard Gulf oysters...this please is a great spot to explore.",1,soooooo,so+,so,tasted a bit like crispy Naan bread and was soooooo much better than your generic saltine crackers.,went extremely well with the oysters.,1,1,"['tasted' 'a' 'bit' 'like' 'crispy' 'Naan' 'bread' 'and' 'was' 'soooooo'
 'much' 'better' 'than' 'your' 'generic' 'saltine' 'crackers.']",[3 1 2 2 4 2 2 1 1 5 3 4 2 1 2 2 2],1,1,0,4.0,17,6,247
AM465O0NS5I8H,Amazon_Reviews/Books,The sweetest book ever! I bought it for my son and as a gift for a few of my friends.  Nancy Tillman is the it!!!,1,it!!!,it!+,it!,Nancy Tillman is the it!!!,The sweetest book ever!,1,1,['Nancy' 'Tillman' 'is' 'the' 'it!!!'],[2 2 1 1 5],1,1,0,5.0,5,4,25
84IgMC1P9XO_zweb7w63fg,Yelp,"Sadly, I've only been here once but hopefully I can come back because the chicken was hot, crispy and seasoned to perfection. The waffle was soooooooo good. I wanted to take some home. I also got the grits and it was made pretty decently. You can tell the reviews at this place are authentic. 

Also, I've never had a sever that was that nice and came around that often to check on us. The atmosphere could use a little pick me up and the sign outside needs to be blown up, but other than that, this place is worth a try.",1,soooooooo,so+,so,The waffle was soooooooo good.,I also got the grits and it was made pretty decently.,1,1,['The' 'waffle' 'was' 'soooooooo' 'good.'],[1 2 1 5 4],1,1,0,4.0,5,11,101
1695252016,Twitter,@DonnieWahlberg In Toronto  waiting for YOU!!! 48 days to go! ,1,YOU!!!,YOU!+,YOU!,@DonnieWahlberg In Toronto  waiting for YOU!!!,48 days to go!,1,1,['@DonnieWahlberg' 'In' 'Toronto' 'waiting' 'for' 'YOU!!!'],[2 1 2 3 1 5],1,1,0,5.0,6,4,10
e_AfaaI99qZu-chsQpo3Ow,Yelp,The crab cakes were a huge hit! Easily the best wehave ever had. We have been here before a few years back but we were very impressed with the new menu! We will be back!!!,1,back!!!,back!+,back!,We will be back!!!,We have been here before a few years back but we were very impressed with the new menu!,1,1,['We' 'will' 'be' 'back!!!'],[2 1 1 5],1,1,0,5.0,4,18,35
#NAME?,Yelp,"This was my first time getting my hair colored professionally AND my first time getting balayage... and Stevie did an amazing job!!! He was so sweet and patient when answering all of my many, many questions. His salon is super close to the corner of 5th and Tasker - I was pleasantly surprised by how modern it looked inside because most of the buildings on the street are residential.

He's very considerate when it comes to his clients and he's super talented at coloring hair. He has a great eye for detail and made me feel so at ease and excited for the end result. I was nervous about getting my hair bleached, but I swear, my hair feels more healthy somehow after he worked on it... Doesn't make sense, I know - but he uses high quality products and keeps a close eye on his clients to make sure your hair doesn't get damaged.

I was his only client during my whole appointment and it seems like he schedules everyone one-on-one, which was really nice! You get his undivided attention and he never rushes the process - which I'm sure is another reason why many of his clients speak so highly of him. Most of us seem to get to his salon by word of mouth (I know I did), but I want to make sure Yelpers who are interested in getting their hair colored know how talented he is! Definitely coming back here for all of my hair needs!",1,job!!!,job!+,job!,and Stevie did an amazing job!!!,"He was so sweet and patient when answering all of my many, many questions.",1,1,['and' 'Stevie' 'did' 'an' 'amazing' 'job!!!'],[1 2 2 1 5 5],1,1,0,5.0,6,14,251
A1QNE0U2EAZLVP,Amazon_Reviews/Books,This is the most touching book I have ever read!!!! I love that all of the proceeds go to Griffin Memorial Scholarship! Vets helping vets out!,1,read!!!!,read!+,read!,This is the most touching book I have ever read!!!!,Vets helping vets out!,1,1,['This' 'is' 'the' 'most' 'touching' 'book' 'I' 'have' 'ever' 'read!!!!'],[2 1 1 4 5 2 2 2 3 5],1,1,0,5.0,10,4,26
A2ONNOROOKOIV1,Amazon_Reviews/Electronics,"My son is 20...big wrestling fan and had to have these, he said the sound is great in these and he let me listen, they do sound really good. They are great for a wrestling fan and play nice!!!",1,nice!!!,nice!+,nice!,They are great for a wrestling fan and play nice!!!,My son is 20...,1,1,['They' 'are' 'great' 'for' 'a' 'wrestling' 'fan' 'and' 'play' 'nice!!!'],[2 2 5 2 1 2 2 2 3 5],1,1,0,5.0,10,4,39
A2S9ELEXYYCAEF,Amazon_Reviews/Electronics,"So much fun.  Highly recommend this product especially for all photographers because these toy cameras are inexpensive and offer so much: blurry pics, light leaks, multiple exposures, oh my!!!",1,my!!!,my!+,my!,"Highly recommend this product especially for all photographers because these toy cameras are inexpensive and offer so much: blurry pics, light leaks, multiple exposures, oh my!!!",So much fun.,1,1,"['Highly' 'recommend' 'this' 'product' 'especially' 'for' 'all'
 'photographers' 'because' 'these' 'toy' 'cameras' 'are' 'inexpensive'
 'and' 'offer' 'so' 'much:' 'blurry' 'pics,' 'light' 'leaks,' 'multiple'
 'exposures,' 'oh' 'my!!!']",[5 5 2 2 4 2 3 2 2 2 2 2 2 4 2 3 3 3 2 2 2 2 2 2 3 5],1,1,0,5.0,26,3,29
2260749177,Twitter,Felt dead horrible today. Medicine + sleeep all day. Just woke up and feeling better. But missed chris's txt while he's at camp  going ...,0,sleeep,slee+p,sleep,Medicine + sleeep all day.,But missed chris's txt while he's at camp  going ...,0,0,['Medicine' '+' 'sleeep' 'all' 'day.'],[2 2 3 3 2],0,0,0,3.0,5,10,25
8vJck2E4P8D1698xWUOEwQ,Yelp,"Bring that it was $100 for the night right off Bourbon Street, wasn't a bad deal. The rooms were very clean and staff was very polite.
Knocked off a star due to the light in the bathroom. Seems someone put in the wrong light. It was sooooooo hot under that light. Looked like it was left on and the ceramic/paint on the toilet started bubbling and pealing.",1,sooooooo,so+,so,It was sooooooo hot under that light.,"Bring that it was $100 for the night right off Bourbon Street, wasn't a bad deal.",0,1,['It' 'was' 'sooooooo' 'hot' 'under' 'that' 'light.'],[2 2 5 4 2 2 2],0,1,0,5.0,7,16,67
CT3Kve_AM-sZucLoI4LCbw,Yelp,"I can't believe this place has 3.5 stars. Although it may be a bit pricey after you add in food and drinks, this place is first class. The food is good,the drinks are cold,the staff is friendly and the facility is very clean. The games were fun and we all had a great time. It's not fair to give bad ratings for a perceived high price. You can tell this place is trying to offer a 1st class experience and we really enjoyed ourselves. Keep up the good work!!!",1,work!!!,work!+,work!,Keep up the good work!!!,You can tell this place is trying to offer a 1st class experience and we really enjoyed ourselves.,1,1,['Keep' 'up' 'the' 'good' 'work!!!'],[2 1 1 4 5],1,1,0,4.0,5,18,89
AP0JCQR9BVD2J,Amazon_Reviews/Electronics,"Worked right out of the box!!! After dealing with a cheap knock off cable that worked one time then died, this cable worked without any muss or fuss. Took it out of the package, connected to computer and my Baofeng UV82X, opened Chirp, and programmed the radio with ease. Save yourself a lot of aggravation, get this cable!!",1,box!!!,box!+,box!,Worked right out of the box!!!,"After dealing with a cheap knock off cable that worked one time then died, this cable worked without any muss or fuss.",1,1,['Worked' 'right' 'out' 'of' 'the' 'box!!!'],[3 2 1 1 1 5],1,1,0,5.0,6,22,58
A1GCRCNS8OAHY,Amazon_Reviews/Books,Loved this book!!!  Love her!!,1,book!!!,book!+,book!,Loved this book!!!,Love her!!,1,1,['Loved' 'this' 'book!!!'],[5 1 5],1,1,0,5.0,3,2,5
2050563790,Twitter,ahhh just woke up. hahahha @kloeee you broke your drought !! hahaha. good jobbbb... hope work is good for you  xxxxxx,1,ahhh,ah+,ah,ahhh just woke up.,good jobbbb...,0,1,['ahhh' 'just' 'woke' 'up.'],[3 2 2 2],0,1,0,2.5,4,2,21
6005183,TripAdvisor,"In a few weeks time, I will have my fourth stay at this hotel and if it really was as bad as some of the reviews I have read then I would not have returned for a 2nd stay let alone a 4th stay! 
It is true that the rooms are very basic but on all 3 of my previous stays (June 2003, December 2004 and January 2005), the rooms we have been given have been clean and yes the furniture/decoration is outdated but how much time do you spend having to look at this?
You cannot fault this hotel for location (Madison Square Garden, Empire State Building, Shopping, Theatre, etc.), it is so easy to get to from JFK (Air Train and then LIRR to Penn Station over the road). 
It is true that if you are looking for grandeur then you will not find it here, but as with most places, the key thing here is LOCATION, LOCATION, LOCATION!! Very convenient and value for money - you get what you pay for guys!!!",1,guys!!!,guys!+,guys!,Very convenient and value for money - you get what you pay for guys!!!,"You cannot fault this hotel for location (Madison Square Garden, Empire State Building, Shopping, Theatre, etc.",1,1,"['Very' 'convenient' 'and' 'value' 'for' 'money' '-' 'you' 'get' 'what'
 'you' 'pay' 'for' 'guys!!!']",[3 4 1 3 1 2 1 2 2 2 2 2 1 5],1,1,0,4.5,14,16,175
A1NKXNSHUCHDWE,Amazon_Reviews/Electronics,"I received these speakers as a gift and cannot say enough about them. I use them in my kitchen and the sound is loud enough to reach the entire downstairs area and then some. We have also been using the portable speakers with our ipod in the car when we travel over an hour. The sound is great and I love being able to use my ipod without buying an itrip and having to worry about frequencies on my radio. This is just easy...no hassle. If you want a compact, great sounding portable speaker that also charges your ipod this is the one for you. I couldn't be happier with this gift!!!!",1,gift!!!!,gift!+,gift!,I couldn't be happier with this gift!!!!,This is just easy...,1,1,"['I' ""couldn't"" 'be' 'happier' 'with' 'this' 'gift!!!!']",[1 2 1 5 1 1 5],1,1,0,5.0,7,4,112
A1FDTLJQPBFP5V,Amazon_Reviews/Books,"Sooooo slow moving.  Instead of breadcrumbs to entice the reader, back history is lumped together.  Characters brought in and left alone for chapters.  Saying it's not my cup of tea is clich but I will not invest in another Teapot mystery.",0,Sooooo,So+,So,Sooooo slow moving.,"Instead of breadcrumbs to entice the reader, back history is lumped together.",0,0,['Sooooo' 'slow' 'moving.'],[5 4 3],0,0,0,3.5,3,12,41
h-rGbPqQfSM17zM3kcScJA,Yelp,"DO NOT STAY HERE!!!  I made a reservation through Booking.com which guaranteed free cancellation. After reading that they had BED BUGS, I canceled reservation but they charged my account anyway and will not refund me!  Have to file a complaint in small claims court!!!",0,HERE!!!,HERE!+,HERE!,DO NOT STAY HERE!!!,"After reading that they had BED BUGS, I canceled reservation but they charged my account anyway and will not refund me!",0,0,['DO' 'NOT' 'STAY' 'HERE!!!'],[2 5 4 5],0,0,0,5.0,4,21,44
A27MHEGM1CE7N6,Amazon_Reviews/Books,"Excellent book - great read!!!  Robert K Brown is an authentic American patriot and appears truthful even when/if the facts provided don't paint him in the ""best"" light.  Very interesting in providing insight into what was happening behind the scenes in the Caribbean, Central American and Southeast Asia.

Hilarious as regards Brown's experiences while residing in Boulder, CO.",1,read!!!,read!+,read!,Excellent book - great read!!!,"Robert K Brown is an authentic American patriot and appears truthful even when/if the facts provided don't paint him in the ""best"" light.",1,1,['Excellent' 'book' '-' 'great' 'read!!!'],[5 2 1 5 5],1,1,0,5.0,5,23,58
ehNVTJW--UXaMnJ9ikFKVA,Yelp,"Got the chicken udon, 10$ for this???? Wont be back, smallest portion ever and not seasoned well",0,this????,this?+,this?,"Got the chicken udon, 10$ for this????","Wont be back, smallest portion ever and not seasoned well",0,0,"['Got' 'the' 'chicken' 'udon,' '10$' 'for' 'this????']",[2 1 2 2 3 1 4],0,0,0,3.0,7,10,17
ABRLCS0WRNOKX,Amazon_Reviews/Books,"Surprisingly fresh and sooooo funny at times.  Loved the dialogue between Sloan and Nate and Warren and Adrianne -- snappy and sarcastic without being mean (of course except when the guys got all ""testosterone"").  A really different look at ""paranormal"" in the here and now.  Great relationship development because the characters were well developed.  Plot and subplots actually made sense in the context of the novel and wove logically throughout as long as I remembered this was paranormal and not what most of us would consider ""normal"" (whatever that is).  I am buying the next book as soon as I finish this review.",1,sooooo,so+,so,Surprisingly fresh and sooooo funny at times.,"Loved the dialogue between Sloan and Nate and Warren and Adrianne -- snappy and sarcastic without being mean (of course except when the guys got all ""testosterone"").",1,1,['Surprisingly' 'fresh' 'and' 'sooooo' 'funny' 'at' 'times.'],[4 3 1 5 4 1 3],1,1,0,4.0,7,27,103
2324844626,Twitter,I have got to stop going to bed so late! Getting out of bed this morning was soooooo hard ,0,soooooo,so+,so,Getting out of bed this morning was soooooo hard,I have got to stop going to bed so late!,0,0,['Getting' 'out' 'of' 'bed' 'this' 'morning' 'was' 'soooooo' 'hard'],[3 2 1 2 1 2 1 5 4],0,0,0,5.0,9,10,19
A105ZE320L68O8,Amazon_Reviews/Books,"Looooooooved this book. Perfect mix of character development, depth, and storyline flow. This is one of those hard to find authors that just gets it. The it being how to use sentence structure to paint the scenes so vividly that I can imagine it, like Im living inside the pages and seeing everything first hand. I hope her other books are as well written as this one",1,Looooooooved,Lo+ved,Loved,Looooooooved this book.,This is one of those hard to find authors that just gets it.,1,1,['Looooooooved' 'this' 'book.'],[5 1 2],1,1,0,5.0,3,13,67
YzwIFEEmU1aTIO7sQO3Qyw,Yelp,"I should've taken a before picture but let me tell you... I own a husky and the windows were covered in snot, drool, floor was covered in dog fur... after Gloria and Jessie took care of the car, it's as if I just bought this car  I mean look at the pictures!!! Will def come back in the future!",1,pictures!!!,pictures!+,pictures!,"after Gloria and Jessie took care of the car, it's as if I just bought this car  I mean look at the pictures!!!",Will def come back in the future!,1,1,"['after' 'Gloria' 'and' 'Jessie' 'took' 'care' 'of' 'the' 'car,' ""it's""
 'as' 'if' 'I' 'just' 'bought' 'this' 'car' 'I' 'mean' 'look' 'at' 'the'
 'pictures!!!']",[1 2 1 2 2 3 1 1 2 2 2 2 2 2 3 2 2 2 2 3 1 1 5],1,1,0,2.5,23,7,59
CahVnZSL6PhB4r4Nuia_XA,Yelp,"This is the perfect example of a NO STAR rating being needed for yelp. 

  This hospital is the worst. I was seen in the ER and told it was just a minor thing and take this and you will be okay. Two days later it didn't go away I went to my local ER and was admitted immediately for a life threatening issue. They told me if I hadn't gotten in when I did I could've required life changing surgery! To add insult to injury their billing department is just as bad as the doctor. They keep sending me bills saying my insurance has paid the claim! Stay away at all cost! They can cost you your life and credit score. Dr. Michael Fernades was uncaring, unknowledgeable, and dismissive!

 When I just tired to call in the number that's listed on here tells me that I have reached the after hours line and the office will be open from at 9:00 am. It's 10:41 am!!! I pushed 0 like the prompt says to and got an operator who informed me that the office is experiencing a staffing issue and to call back in 10 minutes! This place is a grade A Joke!",0,am!!!,am!+,am!,It's 10:41 am!!!,I was seen in the ER and told it was just a minor thing and take this and you will be okay.,1,1,"[""It's"" '10:41' 'am!!!']",[1 1 3],0,0,0,3.0,3,22,202
A3H1LRHO8BNU52,Amazon_Reviews/Books,"This is truly an epic story comic!! I am glad I made the purchase!! Well written and the artwork was excellent!
Delivery of this item was prompt and fast! Will definitely be back buying another item from Amazon!!!",1,Amazon!!!,Amazon!+,Amazon!,Will definitely be back buying another item from Amazon!!!,This is truly an epic story comic!!,1,1,"['Will' 'definitely' 'be' 'back' 'buying' 'another' 'item' 'from'
 'Amazon!!!']",[2 4 1 3 3 2 2 1 5],1,1,0,5.0,9,7,38
fxLoPAaZo2YCwh9Pono70g,Yelp,Best wings on the planet... Get the Tony Bruno sauce it's unbeatable.  Everything is always fresh and the prices are great!!! My 6 year old loves the kid meals and loves that his chicken fingers come on a Frisbee,1,great!!!,great!+,great!,Everything is always fresh and the prices are great!!!,Get the Tony Bruno sauce it's unbeatable.,1,1,['Everything' 'is' 'always' 'fresh' 'and' 'the' 'prices' 'are' 'great!!!'],[2 1 3 4 1 1 2 1 5],1,1,0,5.0,9,7,39
